"quanti.correlation"	"quanti.p.value"
"ENSG00000231767"	0.934597784629648	4.99228681136871e-89
"ENSG00000273149"	0.93011494366123	2.48567829375371e-86
"ENSG00000188375"	0.928985746302871	1.11314164693193e-85
"ENSG00000105372"	0.926522338226484	2.69406804138826e-84
"ENSG00000264577"	0.91339618115756	1.18181658802304e-77
"ENSG00000181350"	0.910536085560967	2.39679819604169e-76
"ENSG00000245970"	0.90999306536282	4.19600052533039e-76
"ENSG00000196873"	0.906614672330574	1.26506011743487e-74
"ENSG00000228224"	0.90490767419908	6.73392650075678e-74
"ENSG00000125691"	0.892836723371653	3.98640843303366e-69
"ENSG00000182774"	0.892580225869862	4.96256682997668e-69
"ENSG00000205940"	0.890797780139029	2.23950034436835e-68
"ENSG00000147996"	0.887287678863969	4.0396127480691e-67
"ENSG00000197756"	0.883099229624331	1.12676392687964e-65
"ENSG00000137154"	0.879161709039146	2.29683019704733e-64
"ENSG00000172785"	0.877939482901171	5.7314947533883e-64
"ENSG00000071082"	0.875811690830915	2.75159050869218e-63
"ENSG00000271980"	0.868561699374627	4.67961490157615e-61
"ENSG00000231434"	0.864850956920306	5.76944129065592e-60
"ENSG00000179101"	0.864657299047852	6.56410634696554e-60
"ENSG00000174748"	0.861600612292909	4.90245934494733e-59
"ENSG00000197061"	0.859849939610284	1.51769662136529e-58
"ENSG00000215126"	0.858281403844879	4.12361875550823e-58
"ENSG00000251259"	0.858214948965327	4.30085255644844e-58
"ENSG00000181359"	0.858173727937331	4.41454809781478e-58
"ENSG00000198918"	0.853362150973926	8.78094173419859e-57
"ENSG00000144713"	0.85146494060643	2.77261478398916e-56
"ENSG00000204628"	0.849063970092574	1.16127949947611e-55
"ENSG00000162825"	0.840824961128225	1.3180864488468e-53
"ENSG00000188243"	0.838751359900495	4.15687449119105e-53
"ENSG00000140264"	0.836998126438503	1.08402692741665e-52
"ENSG00000236534"	0.83631873858898	1.56683204446915e-52
"ENSG00000134419"	0.835995007182361	1.86636750292486e-52
"ENSG00000145592"	0.827424927328633	1.67511356468656e-50
"ENSG00000225840"	0.821650315990427	3.02173427375735e-49
"ENSG00000229117"	0.816564771322199	3.54446639828453e-48
"ENSG00000196531"	0.815503475275008	5.86835474060438e-48
"ENSG00000258017"	0.813274508431375	1.67428960050644e-47
"ENSG00000156411"	0.809787793812969	8.39379506327219e-47
"ENSG00000183054"	0.808687915971909	1.38618042690832e-46
"ENSG00000203875"	0.808502533164841	1.50799869748674e-46
"ENSG00000258890"	0.807296452868572	2.60269621131327e-46
"ENSG00000149273"	0.805411646620632	6.06036438287854e-46
"ENSG00000232164"	0.805363389420249	6.19218994676895e-46
"ENSG00000198242"	0.803177566822801	1.63089951074117e-45
"ENSG00000236498"	0.802747213258573	1.97065454751548e-45
"ENSG00000219200"	0.795766129410943	3.98145463895049e-44
"ENSG00000248360"	0.792860530984377	1.34428624636527e-43
"ENSG00000113558"	0.792331906253618	1.67388243040686e-43
"ENSG00000251562"	0.789951510757467	4.45814754296129e-43
"ENSG00000119705"	0.78523874305795	2.98798217469437e-42
"ENSG00000015568"	0.782691703099775	8.19022986017379e-42
"ENSG00000255633"	0.780173773258242	2.18997747229808e-41
"ENSG00000213741"	0.779994950582203	2.34725634481919e-41
"ENSG00000184752"	0.779243654423641	3.1390685173882e-41
"ENSG00000178458"	0.778465450337263	4.23682457089382e-41
"ENSG00000256045"	0.778174729403813	4.73761538389441e-41
"ENSG00000134825"	0.77641224541953	9.2926827116108e-41
"ENSG00000166405"	0.772582396185081	3.93378278239593e-40
"ENSG00000258289"	0.772331935265339	4.31882481535525e-40
"ENSG00000186468"	0.769543212859379	1.2118510377488e-39
"ENSG00000214940"	0.768585598473798	1.7213238765585e-39
"ENSG00000218537"	0.764136754058078	8.59840224010024e-39
"ENSG00000175106"	0.763217439076221	1.19357318657805e-38
"ENSG00000148655"	0.762391147055059	1.60072536403661e-38
"ENSG00000164405"	0.7613908188489	2.28002255418591e-38
"ENSG00000161970"	0.761133243538881	2.49673974494396e-38
"ENSG00000139675"	0.759402850612277	4.58147394575425e-38
"ENSG00000255823"	0.759125504866521	5.04722744932974e-38
"ENSG00000235652"	0.7571343671723	1.0075412035208e-37
"ENSG00000196912"	0.753051352437084	4.07290741725675e-37
"ENSG00000166441"	0.751208749248406	7.58241635642084e-37
"ENSG00000271043"	0.747282822230402	2.79938539926774e-36
"ENSG00000183199"	0.746731936961176	3.35600828268128e-36
"ENSG00000233024"	0.746538326496556	3.57647576377562e-36
"ENSG00000150477"	0.745822138134502	4.52327238638522e-36
"ENSG00000169218"	0.744361603107612	7.28454773165086e-36
"ENSG00000269028"	0.74290977849041	1.16607819041084e-35
"ENSG00000065518"	0.741446372044559	1.86764885449442e-35
"ENSG00000183889"	0.741206392789279	2.01701765902666e-35
"ENSG00000249348"	0.740899245125468	2.22547485374344e-35
"ENSG00000127184"	0.740688629746527	2.38054632396818e-35
"ENSG00000090266"	0.738686406481883	4.50162945400766e-35
"ENSG00000185864"	0.73760093737838	6.34330420630494e-35
"ENSG00000143977"	0.737195586844654	7.20688706995599e-35
"ENSG00000270672"	0.731441009554318	4.30320869285826e-34
"ENSG00000256618"	0.730453457338498	5.82047795247078e-34
"ENSG00000149100"	0.72983294805731	7.03198991760267e-34
"ENSG00000125743"	0.728549547285382	1.03802098164825e-33
"ENSG00000250337"	0.727935817952726	1.24951907523343e-33
"ENSG00000188739"	0.726806657448128	1.75527337031681e-33
"ENSG00000161654"	0.726642897559455	1.84369832298844e-33
"ENSG00000234741"	0.723278609456785	5.0211704298915e-33
"ENSG00000164919"	0.721508879780296	8.45513328504255e-33
"ENSG00000185088"	0.721292722165091	9.00830533011294e-33
"ENSG00000171490"	0.720547888066345	1.12016429180201e-32
"ENSG00000131469"	0.71848654451306	2.03986694181796e-32
"ENSG00000175768"	0.71816371113035	2.23955007893283e-32
"ENSG00000170906"	0.71680030010659	3.31763256788237e-32
"ENSG00000108848"	0.715891072588391	4.30611202520294e-32
"ENSG00000244754"	0.714729579412005	5.9995971760885e-32
"ENSG00000159140"	0.712334153342359	1.18282970989416e-31
"ENSG00000140307"	0.709966690579093	2.29791570906684e-31
"ENSG00000143156"	0.704653657894732	9.95765351607768e-31
"ENSG00000008394"	0.703340047070251	1.42372615645139e-30
"ENSG00000147403"	0.701930672846318	2.08482981742711e-30
"ENSG00000129235"	0.701393767415117	2.40944971617873e-30
"ENSG00000169246"	0.700502699989853	3.06134550049225e-30
"ENSG00000152348"	0.700366568302508	3.17516368229511e-30
"ENSG00000159199"	0.694898256739706	1.35295669314133e-29
"ENSG00000224411"	0.693296815585054	2.05580326360065e-29
"ENSG00000172954"	0.692908066751869	2.27462333179365e-29
"ENSG00000109686"	0.689982723687484	4.84448285640732e-29
"ENSG00000139180"	0.68666333493556	1.13013279272916e-28
"ENSG00000241468"	0.684282925427764	2.06032049223109e-28
"ENSG00000102309"	0.682409369916841	3.29204534657904e-28
"ENSG00000075292"	0.680594239211521	5.16659771812634e-28
"ENSG00000241343"	0.678628445806423	8.38695489987569e-28
"ENSG00000230989"	0.678049669266697	9.66583587197813e-28
