"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	3573.83444834334	30.6653588933128	30.6653588933128
"comp 2"	1422.7275407778	12.2077424894641	42.8731013827769
"comp 3"	470.907175966476	4.04062856440996	46.9137299471869
"comp 4"	168.901025981269	1.44925867552855	48.3629886227154
"comp 5"	148.465008165648	1.27390701060835	49.6368956333238
"comp 6"	106.300332928755	0.912112160441562	50.5490077937654
"comp 7"	90.7456716154662	0.778645073890575	51.3276528676559
"comp 8"	88.9880387842646	0.763563669771129	52.0912165374271
"comp 9"	87.1500571116279	0.747792830789804	52.8390093682169
"comp 10"	84.4945350338962	0.72500706979841	53.5640164380153
"comp 11"	82.665374171481	0.709311917957909	54.2733283559732
"comp 12"	81.2737166238738	0.697370772174353	54.9706991281475
"comp 13"	79.6282472590917	0.683251788951057	55.6539509170986
"comp 14"	78.6972470520588	0.675263322811657	56.3292142399103
"comp 15"	77.6886362326148	0.666608917239998	56.9958231571503
"comp 16"	76.3282841955612	0.654936389024027	57.6507595461743
"comp 17"	75.1807385619064	0.645089850464081	58.2958493966384
"comp 18"	74.258480128707	0.637176393292175	58.9330257899305
"comp 19"	73.4934197211734	0.630611776964479	59.563637566895
"comp 20"	73.0169530886495	0.626523445370437	60.1901610122655
"comp 21"	71.943588094623	0.617313415291792	60.8074744275572
"comp 22"	70.1209330437655	0.601674086699175	61.4091485142564
"comp 23"	69.6510210645414	0.597641997440577	62.006790511697
"comp 24"	69.2519607684317	0.594217852484464	62.6010083641815
"comp 25"	68.171336931588	0.584945537757955	63.1859539019394
"comp 26"	67.2187246364537	0.576771628658719	63.7627255305981
"comp 27"	66.1385623494222	0.567503274269725	64.3302288048679
"comp 28"	65.5581793073226	0.562523285817874	64.8927520906857
"comp 29"	65.0966357907116	0.55856300232228	65.451315093008
"comp 30"	63.5055932587356	0.544911029640618	65.9962261226486
"comp 31"	62.9632643549411	0.540257565493506	66.5364836881421
"comp 32"	62.5433067781049	0.536654110996721	67.0731377991389
"comp 33"	61.8015134317964	0.530289138159279	67.6034269372981
"comp 34"	60.7787931870698	0.521513666378112	68.1249406036763
"comp 35"	60.6999430346202	0.520837091047439	68.6457776947237
"comp 36"	59.8044033382974	0.513152894538651	69.1589305892623
"comp 37"	59.5573955774931	0.511033439442456	69.6699640287048
"comp 38"	59.3879337010508	0.509579368378184	70.179543397083
"comp 39"	58.3132423490632	0.50035795745818	70.6799013545412
"comp 40"	57.0544370484684	0.489556753071827	71.169458107613
"comp 41"	56.9195993977672	0.488399775878045	71.657857883491
"comp 42"	56.4871988125412	0.484689553895665	72.1425474373867
"comp 43"	56.1274149050263	0.481602420787667	72.6241498581744
"comp 44"	54.7292421141053	0.469605370826852	73.0937552290012
"comp 45"	54.3657114071197	0.466486088230082	73.5602413172313
"comp 46"	53.7436511741009	0.461148487797129	74.0213898050284
"comp 47"	53.6429244787597	0.460284200346935	74.4816740053754
"comp 48"	53.5361028464364	0.459367615166476	74.9410416205418
"comp 49"	52.2712680939278	0.448514674945815	75.3895562954877
"comp 50"	51.8543567996655	0.444937359138376	75.834493654626
"comp 51"	51.5031322831115	0.44192367005794	76.276417324684
"comp 52"	50.9420335951246	0.437109151397272	76.7135264760812
"comp 53"	50.6988568438614	0.435022568356065	77.1485490444373
"comp 54"	49.9350424123592	0.42846864315095	77.5770176875883
"comp 55"	49.4414457734663	0.42423332719019	78.0012510147784
"comp 56"	49.0571817005574	0.420936141527037	78.4221871563055
"comp 57"	48.3998542573568	0.415295930082572	78.8374830863881
"comp 58"	48.1681819310929	0.413308060993162	79.2507911473812
"comp 59"	47.8508624997046	0.410585295182939	79.6613764425642
"comp 60"	47.1882723955066	0.404899927369159	80.0662763699333
"comp 61"	46.7235896853155	0.400912707959448	80.4671890778928
"comp 62"	46.6185905540106	0.400011760785904	80.8672008386787
"comp 63"	45.4445657880629	0.389938017494826	81.2571388561735
"comp 64"	45.1334332836659	0.387268338737005	81.6444071949105
"comp 65"	44.8076665791898	0.384473090928903	82.0288802858394
"comp 66"	44.0244410084184	0.37775260805	82.4066328938894
"comp 67"	43.746974555525	0.375371801529213	82.7820046954186
"comp 68"	43.4883417260086	0.373152597295399	83.155157292714
"comp 69"	43.1108212409283	0.369913275124242	83.5250705678383
"comp 70"	42.3837091284411	0.363674274911059	83.8887448427493
"comp 71"	41.7763369294667	0.358462705451817	84.2472075482011
"comp 72"	41.5992091886586	0.356942857283036	84.6041504054842
"comp 73"	40.9682535018077	0.351528929228246	84.9556793347124
"comp 74"	40.3025974125401	0.345817253667457	85.3014965883799
"comp 75"	39.9789741738226	0.343040397910725	85.6445369862906
"comp 76"	39.8610945317936	0.342028929253941	85.9865659155445
"comp 77"	39.4590329710484	0.338579031885815	86.3251449474304
"comp 78"	38.9711036458998	0.334392344425463	86.6595372918558
"comp 79"	38.8465757082199	0.333323829933145	86.992861121789
"comp 80"	38.1298403812587	0.327173867938412	87.3200349897274
"comp 81"	37.2334232993325	0.319482143004677	87.6395171327321
"comp 82"	36.8145559023903	0.315888042818561	87.9554051755506
"comp 83"	36.6940828394104	0.314854321260762	88.2702594968114
"comp 84"	36.6160349193369	0.314184629501246	88.5844441263126
"comp 85"	35.9586573012592	0.308543987530231	88.8929881138429
"comp 86"	35.5423016865163	0.304971439742167	89.197959553585
"comp 87"	35.4613870463955	0.304277150033202	89.5022367036182
"comp 88"	34.6190991044372	0.29704988128167	89.7992865848999
"comp 89"	34.2872676923071	0.294202595126666	90.0934891800266
"comp 90"	33.9476298630794	0.291288325851591	90.3847775058781
"comp 91"	33.4338067368123	0.286879456106108	90.6716569619843
"comp 92"	32.9886268307014	0.283059580901953	90.9547165428862
"comp 93"	32.7784374259649	0.281256046455973	91.2359725893422
"comp 94"	32.7095902882858	0.280665302196209	91.5166378915384
"comp 95"	32.1365527164749	0.275748341700996	91.7923862332394
"comp 96"	31.5511103560069	0.270724941665378	92.0631111749048
"comp 97"	30.8007607224647	0.264286551431969	92.3273977263367
"comp 98"	30.7098987870225	0.263506908753958	92.5909046350907
"comp 99"	30.0125029490255	0.257522889636118	92.8484275247268
"comp 100"	29.7352457233215	0.255143878393468	93.1035714031203
"comp 101"	29.1414222304144	0.250048563881147	93.3536199670014
"comp 102"	28.6858343170051	0.246139382559492	93.5997593495609
"comp 103"	27.8344328568951	0.23883391508081	93.8385932646417
"comp 104"	27.2360912916862	0.233699833157563	94.0722930977993
"comp 105"	26.8858660572379	0.230694718437481	94.3029878162368
"comp 106"	26.1950275857412	0.224766964935756	94.5277547811725
"comp 107"	26.0983496664468	0.223937418090463	94.751692199263
"comp 108"	25.5820330368796	0.219507152789394	94.9711993520524
"comp 109"	24.7477551825747	0.212348614757263	95.1835479668097
