"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"A549_RHA015"	-21.364712957515	28.8068506247181	-20.9368189743064	-12.1908874686426	1.63100431175147
"A549_RHA016"	12.5225839390238	45.4457859730523	-9.59441429282017	0.149982217533423	5.00854490656733
"A549_RHA017"	-19.788613841311	35.8807273096721	-11.4838504322771	14.4265532890952	-6.8947471036075
"A549_RHA018"	16.0556075333308	48.0862885014476	-0.807365788002151	4.97235657875949	4.48943979946028
"A549_RHA028"	-27.7798719478219	43.3919078746469	-19.8494068446839	-16.6731763077471	12.8683869113617
"A549_RHA029"	-7.92697247674747	39.49026765721	-18.5252375086022	-12.883688973915	-0.21572696879995
"A549_RHA030"	22.5371814257179	37.7799704513948	-7.57687170089253	4.37500120016822	6.78990171911882
"A549_RHA031"	-22.5230541760137	41.8026398083147	-25.4575828008186	13.1009200944699	4.9559150836473
"A549_RHA032"	-26.0034508736384	34.8651040878883	-25.1032965451095	32.2152239499237	-6.54268863408765
"A549_RHA033"	-7.24101255033928	39.8390889072969	-25.2023807603617	9.69741485086983	-14.8992121701182
"A549_RHA034"	-29.1596229111662	33.7405041194072	-20.8720882598182	5.24206048687679	-7.18811338135661
"A549_RHA035"	-18.3453297238024	40.5040760533321	-28.7508382397566	2.84474178146672	-27.1330630587572
"A549_RHA036"	20.5811231987529	55.189260767392	-5.92818529218154	1.83461998982628	3.57234482113698
"A549_RHA037"	-19.6220426652046	29.4209268473176	-20.0076585301861	-14.6765733967695	9.21583267376498
"A549_RHA038"	-29.6992914304066	34.7793480081046	-19.8712994813882	-6.19300516453635	7.63946018694707
"A549_RHA039"	-54.4039330260427	28.2465593255845	-17.7508413480826	-11.7697318677951	-28.3366712325186
"A549_RHA040"	-30.26659880114	34.9693372866261	-27.7057743920235	9.8954317126032	-6.59328213081858
"A549_RHA041"	24.0160056677914	37.9828355807063	-0.448725723110487	6.11069972178727	1.16891600134089
"A549_RHA042"	-13.6847340666673	30.0731176621313	-16.0161778019154	-5.93286323784768	14.5653652493342
"A549_RHA043"	-21.8869038263109	43.3514451210087	-19.3744280494866	0.907512640014071	-15.3284728368911
"A549_RHA044"	-99.1848380272603	2.87325017960674	-23.3645617961512	-26.8402339750627	-3.93500249008548
"A549_RHA045"	23.7313177943173	42.5727727761785	-7.2782842837937	4.20894655773355	16.5859849889245
"A549_RHA046"	2.44227837900425	37.951857676056	-11.0724260133728	0.310861270515379	13.7479442642428
"A549_RHA047"	-13.7250141601557	31.1907629637117	-19.1053217015743	6.369546860441	8.10523816848387
"A549_RHA048"	-0.893912803034528	41.9738815115576	-18.0707673705685	23.4256407040383	-3.86760341786344
"A549_RHA049"	-9.72837305976803	37.1601753962195	-13.882216990003	15.5344076336328	-9.75267055964716
"A549_RHA050"	-12.5447528846082	39.8967875279694	-15.2748074506645	25.0935626306874	5.23192695193373
"A549_RHA051"	-29.3387079118918	30.5686417778624	-25.2847456165705	-2.78726412298507	-14.0808124822378
"A549_RHA052"	-73.4800022179891	10.256326164636	-25.3018632124526	-33.7053168075484	-6.70903007867958
"A549_RHA053"	-31.6316531889032	30.443115973057	-20.9706453902567	-2.10986943100403	1.1889722377541
"A549_RHA054"	-111.292381847296	-14.002673568462	-6.39530972183197	39.5020627978167	28.5399346220513
"A549_RHA055"	-50.8399462756884	26.2992469632639	-12.9091363750647	9.78312083304216	18.7024876259796
"A549_RHA056"	11.4847055709202	37.3344133446521	-12.9623399670539	-14.6313843355419	11.887999033786
"A549_RHA057"	-0.678861092797772	34.8727673453009	-13.6447977230356	-1.11144486167169	-0.506161311050026
"A549_RHA058"	-46.2512421410236	15.3587683012839	-1.25006601940971	41.3313614244185	23.8015068181968
"A549_RHA059"	13.4413424197034	44.7113541415173	-7.00794314135755	-5.17211263904695	5.91581758261903
"A549_RHA060"	-43.1938853194443	35.0267078400845	-23.4830799334048	-23.6463198123642	-6.0271999848604
"A549_RHA061"	-16.2930482405673	35.1540555455364	-17.8925349163251	-13.8681039292332	1.18631315082583
"A549_RHA062"	-18.2890256327064	32.5335585689536	-20.8413213164891	-27.5456143904916	8.68925946890569
"A549_RHA063"	-0.325302758967267	39.8273766963569	-13.1656868966054	-3.54336782898504	14.0986768611122
"A549_RHA064"	-8.31726580067841	42.160703305219	-14.017408164777	-0.0127863631547943	4.86072024170101
"A549_RHA065"	3.41217770369538	43.1122140887753	-13.0247502895935	-2.88967196815552	10.261767621623
"A549_RHA066"	-21.7913502628252	36.0590694716458	-17.3723954592125	27.4869301001658	0.0605545793751652
"A549_RHA067"	-11.7155406700619	29.4467980155758	-16.5971283892303	-7.84540397337469	20.0889968450009
"A549_RHA068"	-9.69813359478059	34.2248713336988	-17.1580348199199	-16.5576253289124	-1.09636203389196
"A549_RHA069"	-51.9425814725931	31.6584963594479	-26.4902643850428	-1.46203411507303	-40.4549766448216
"A549_RHA070"	-52.9243236455059	32.2718109233937	-37.3032116909976	12.9504540850046	-29.6238475692435
"A549_RHA071"	0.221395702528015	44.1904997325427	-12.3268482638676	-4.72216903224952	9.17424463921179
"A549_RHA072"	-83.6369126778389	3.80507792599917	-6.7024916563846	22.5196558102285	16.9159363520647
"A549_RHA073"	-31.8681715978931	27.2547608080966	-18.116394644318	17.7150946152738	7.807790275793
"A549_RHA074"	-33.415542178226	30.877314814439	-14.1147774908869	-23.3326162642537	13.2277097666881
"A549_RHA075"	-34.6131110591106	37.720064337377	-31.6338706585971	-51.4395979828439	16.3104952114199
"A549_RHA076"	-100.428901869997	-3.7831276201166	-14.5612321890155	17.4747876050253	20.5237366731607
"A549_RHA077"	-38.8150819150089	34.5172602477772	-19.9534459596913	19.1281581236172	-18.4882937047608
"A549_RHA078"	-21.3737775687645	37.4051252904765	-8.83681702329703	17.3169452002732	0.997537020449542
"A549_RHA079"	-6.16513933265619	39.3692757309423	-12.2550411238658	-7.31557327629331	10.0964468343424
"A549_RHA080"	-4.02583464219086	41.2917314481246	-13.483074257515	23.3510239676262	-1.57300405896103
"A549_RHA081"	-15.4734089661539	38.1320810246674	-21.3976950617897	4.31339801956816	2.83622246965645
"A549_RHA082"	-25.9559341310588	36.5020704519582	-23.2936051546189	14.336358254913	-0.0643698211488563
"A549_RHA084"	-40.8003854912421	25.1697484868457	-26.9399545851525	-6.80480694261533	7.90698918606646
"A549_RHA085"	-30.5133387599664	30.1177360432768	-13.4126786753043	-24.3720104490318	3.75296093284181
"A549_RHA086"	-30.5019386277202	40.9080876762458	-20.5743299960284	-31.2533522677669	-38.1388720132126
"A549_RHA087"	-21.5536091784806	38.230878031451	-21.117491935019	18.7877712043849	-20.6164825202624
"A549_RHA088"	-63.4685933046806	23.925048526137	-39.1781795096388	-1.02336632129103	-19.1618724150242
"A549_RHA089"	-64.780953027208	27.2955174162223	-22.3222754877562	12.8257833943528	-24.1382158279534
"A549_RHA091"	8.50136008179886	38.3079764559432	-10.8301190820749	-3.03901626574072	10.0300436266484
"A549_RHA092"	-10.6431755614016	39.1423861087061	-7.83773797330624	-20.6421745304824	-0.687015752410058
"A549_RHA093"	-7.41900451095218	31.7772509204993	-13.1677975659251	0.0189513865749766	21.6458786682022
"A549_RHA094"	-34.6774573681809	29.3939651752957	-16.4452599175336	3.58872730900117	13.8385580495304
"A549_RHA095"	10.1590298128529	42.6231789303187	-8.81759849805987	11.7675109957209	0.87349331520863
"A549_RHA096"	12.9070928973448	48.8174461440036	-16.5614590466137	26.0693390850118	2.39037704291022
"A549_RHA097"	2.31909772072355	43.9992610232148	-9.50586101655924	15.9596665591722	5.67785885483574
"A549_RHA098"	9.62461453442157	47.5791572101375	-21.7377885545279	-0.545992946931108	-5.16078311504326
"A549_RHA099"	6.66734968800044	23.5445028867574	-2.62164216430749	-0.171452141412599	4.43222924936116
"H1437_RHL995"	-118.10808203839	-23.4385188171028	30.5104975654162	-1.34557400325315	-12.982628209645
"H1437_RHL996"	41.4653473672717	39.2727522821635	40.9776265198667	-5.73468597207064	-5.17114372767116
"H1437_RHL999"	93.1574671280621	58.4615466611248	37.5629630605511	-6.77801113647265	-0.171173574013977
"H1437_RHL1001"	-96.4712631682656	-27.137466426585	35.5362906978091	10.6266968889857	0.296731535219369
"H1437_RHL1003"	-88.0888935675323	-26.3822184543883	24.990595811002	-5.87247227507088	-12.8933439023288
"H1437_RHL1005"	80.7781833168609	42.3972597863931	41.9437141931547	-3.75627519013495	-2.43600663046396
"H1437_RHL1010"	-19.6717626400714	1.06620549684101	44.0308942582385	22.6830947153908	-7.30080915938813
"H1437_RHL1011"	55.7537102624114	35.8573172197069	35.7871438812604	-5.01744202695206	-3.97157806800118
"H1437_RHL1012"	65.9622320331406	46.8110931486888	37.1579569784295	-7.957661138798	-3.86319092133231
"H1437_RHL1013"	33.6358692913777	34.4854580516668	33.4763813782688	-8.76200545168181	-3.16426637055277
"H1437_RHL1015"	-93.0215092145725	-17.7168325609632	35.334757982796	21.180342448199	-3.59548069111169
"H1437_RHL1016"	-48.2469222168298	6.67545965748587	37.8419109450407	15.6217789744913	13.3673148259104
"H1437_RHL1019"	-54.4447068402681	-15.4755416256818	47.1683735605185	31.8643985175909	6.92434466226906
"H1437_RHL1022"	82.4537569990225	50.3172791441236	46.2626862443299	11.9844971717826	2.62481183408327
"H1437_RHL1033"	-147.27658038696	-39.8139017803597	19.8202194572835	0.825098336278991	-0.603265980446944
"H1437_RHL1042"	-103.744986365081	-20.5719627212565	34.7305719820228	-2.72222730217538	-4.99658949103181
"H1437_RHL1049"	44.3741682296369	43.3617166792077	34.3259383500394	-42.5676594442522	-5.91918737793221
"H1437_RHL1050"	49.0089365592001	38.3405519409967	33.4705834475194	3.45029263876258	2.18340666786541
