"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"A549_RHA015"	0.065163382943248	0.297586860280962	0.474930451151166	0.448933780711066	0.00914176473476868
"A549_RHA016"	0.0223870774037965	0.740643861559855	0.0997345322966202	6.79502692495992e-05	0.0862070861935633
"A549_RHA017"	0.0559036604287738	0.461683831480489	0.142884024839762	0.628690372140841	0.163364054773153
"A549_RHA018"	0.0368012851591498	0.829210333446634	0.000706235110485521	0.0746854791494894	0.0692634511000646
"A549_RHA028"	0.110171681258338	0.675211268724654	0.426877915165738	0.839746739173484	0.569073081172428
"A549_RHA029"	0.00897065590727929	0.559245302342234	0.371822947698572	0.501408976696731	0.000159929546055297
"A549_RHA030"	0.0725118022646191	0.511853194311295	0.0621997282008658	0.0578186562287524	0.158433420436543
"A549_RHA031"	0.0724209238844238	0.626656582865821	0.702171098870871	0.518459977339701	0.0844048757642002
"A549_RHA032"	0.0965320369581697	0.435917317415797	0.682763243678906	3.13497405164091	0.147106657475878
"A549_RHA033"	0.00748528082458166	0.569168669403289	0.688163695486084	0.284068835409294	0.762862789349897
"A549_RHA034"	0.121387314880246	0.408249183060832	0.471998289987027	0.0830071870415701	0.177561849392866
"A549_RHA035"	0.0480463655910105	0.588328178464728	0.895590838968983	0.024445411019007	2.52998222785611
"A549_RHA036"	0.060471068523516	1.09227336611236	0.0380760737390465	0.0101672589187312	0.0438557525040512
"A549_RHA037"	0.0549664804122773	0.310409418667236	0.433711715463547	0.650670298276682	0.291869681370502
"A549_RHA038"	0.125922017690342	0.433775543447058	0.427820072976754	0.115854931648343	0.200560390231624
"A549_RHA039"	0.422542203288376	0.286123348683451	0.341386627211867	0.418451162886517	2.75941794972729
"A549_RHA040"	0.130778616281659	0.438527662469791	0.83166649767524	0.295788396621048	0.149390555410315
"A549_RHA041"	0.082340036035906	0.517364895231185	0.000218157703026334	0.112795955419333	0.00469554956964381
"A549_RHA042"	0.0267351252130143	0.324324007002705	0.277924212003831	0.1063262055351	0.729058842213778
"A549_RHA043"	0.0683877250717337	0.673952593075307	0.406692722743874	0.00248780883807766	0.807453644981531
"A549_RHA044"	1.40442992554896	0.00296052733361554	0.591457986586809	2.17612699161339	0.05321203219524
"A549_RHA045"	0.0803994741466883	0.649959152511881	0.0573940206496515	0.0535128971240261	0.945371179088026
"A549_RHA046"	0.000851529753718467	0.516521338157249	0.132829394852039	0.000291907246478885	0.649524216513978
"A549_RHA047"	0.0268927429232715	0.348878484078214	0.395473447532528	0.122554345524965	0.225762280791106
"A549_RHA048"	0.000114077452152019	0.63180121175337	0.35380324384914	1.65765671322908	0.051404802255847
"A549_RHA049"	0.0135110758083819	0.495196652814452	0.208797972441089	0.728955530546443	0.326863879185639
"A549_RHA050"	0.0224664120212411	0.570818507749705	0.252790127446417	1.90211289283938	0.0940682718624639
"A549_RHA051"	0.122882903614699	0.335100036675237	0.692669073308803	0.0234675574842676	0.681357831382769
"A549_RHA052"	0.770810850419365	0.0377229664322212	0.693607255005549	3.431693310331	0.154681829500789
"A549_RHA053"	0.142841130490505	0.332353605363214	0.47646632656894	0.0134469193677033	0.00485806420532798
"A549_RHA054"	1.76823658635168	0.0703143747589252	0.0443130644094372	4.71358335033448	2.79914740927578
"A549_RHA055"	0.368994305392582	0.248032629124328	0.180552288606234	0.289112238407495	1.20203904363387
"A549_RHA056"	0.0188299527222209	0.499851331060743	0.182043608415251	0.646669648660858	0.485665601300863
"A549_RHA057"	6.57917344509991e-05	0.436108965415882	0.201717150151213	0.00373153471051084	0.000880435843508766
"A549_RHA058"	0.305391046054707	0.0845931053067708	0.00169306846210024	5.16025380409061	1.94683312172885
"A549_RHA059"	0.0257925800926578	0.716898772177433	0.0532095712135097	0.0808067406593463	0.120267800855895
"A549_RHA060"	0.266350820956889	0.439967736213502	0.597473617340883	1.68903542776166	0.124839214009386
"A549_RHA061"	0.0378978161580951	0.443172761071748	0.346858520162748	0.580959444445864	0.00483635878729748
"A549_RHA062"	0.047751897660698	0.37956427499474	0.470607797452792	2.29201031612938	0.259468925766373
"A549_RHA063"	1.51072352201043e-05	0.568834061167775	0.187800033448573	0.0379266179238015	0.683087810503909
"A549_RHA064"	0.00987576300763894	0.637437903476437	0.212884508453037	4.93862113820081e-07	0.0811934647161647
"A549_RHA065"	0.00166215981939959	0.666534823889377	0.183800814514152	0.0252236964289498	0.361879660115131
"A549_RHA066"	0.0677918960457187	0.466284759341206	0.326985153245036	2.28225473620486	1.26012551629507e-05
"A549_RHA067"	0.0195944992804377	0.310955573124027	0.298452023125971	0.185926914913668	1.38687181834938
"A549_RHA068"	0.0134272112793749	0.420054690236794	0.318965498833712	0.828147591230667	0.00413073940758592
"A549_RHA069"	0.385173639502395	0.35942042876708	0.76029337411159	0.00645693856172973	5.62423853529341
"A549_RHA070"	0.399871204738507	0.373481300926399	1.50765186670254	0.506619187284742	3.0158014860194
"A549_RHA071"	6.99757998260572e-06	0.700293371768159	0.164631418556864	0.0673588553655874	0.28924140050494
"A549_RHA072"	0.998632013470521	0.00519217474883388	0.0486722232223906	1.53191665532159	0.983358569802318
"A549_RHA073"	0.144985240053484	0.266383266424272	0.355592150444294	0.947978730669025	0.209496176305728
"A549_RHA074"	0.15940668198094	0.341901685327704	0.215852305915921	1.64451757088555	0.601297138156569
"A549_RHA075"	0.171037275387254	0.510231233000645	1.08420970216606	7.99294404199831	0.914227153826021
"A549_RHA076"	1.43988207712527	0.00513244346448851	0.229723208954814	0.922434319595259	1.44754705418005
"A549_RHA077"	0.215085192258754	0.427262545997196	0.431364537045547	1.10524344389968	1.1746635306521
"A549_RHA078"	0.0652186896578425	0.50174657619744	0.0846058406731212	0.905845656417698	0.00341962014147999
"A549_RHA079"	0.00542619366758113	0.555823673963928	0.162718962302578	0.161662157509635	0.350313559342472
"A549_RHA080"	0.00231377627297981	0.611432301370988	0.196963826496229	1.64711339917946	0.00850314350670797
"A549_RHA081"	0.0341807435852125	0.521438632800014	0.496069594037186	0.0562018627662181	0.0276439697357089
"A549_RHA082"	0.0961795685795109	0.477812149009572	0.587871003371495	0.620853782348823	1.42391618681606e-05
"A549_RHA084"	0.237650116093555	0.227185150774608	0.786325461735865	0.139876017225279	0.214853341198108
"A549_RHA085"	0.132919579644289	0.325287096179442	0.194912486102871	1.79429708780077	0.048402512887909
"A549_RHA086"	0.132820277648456	0.600123379487087	0.458627426680997	2.95056274881221	4.99868201753714
"A549_RHA087"	0.0663207616890329	0.524144140200001	0.483162582717137	1.06625766564548	1.46065941512675
"A549_RHA088"	0.575078648845985	0.205271116595865	1.66301866541679	0.00316354401804108	1.26181507169879
"A549_RHA089"	0.599106682331112	0.267180558033859	0.53986546582594	0.496911952571375	2.00230464306037
"A549_RHA091"	0.0103177813641274	0.526260305805983	0.127079379015746	0.0278982967886504	0.345720765697278
"A549_RHA092"	0.0161715612472131	0.549435584463456	0.0665564425360878	1.28713035435318	0.00162200882259697
"A549_RHA093"	0.00785779633536465	0.362121938578084	0.187860252948742	1.08490977466402e-06	1.6101645531393
"A549_RHA094"	0.171673788364797	0.309840753907847	0.293015169094198	0.0389038480253888	0.658114564063804
"A549_RHA095"	0.014733772765237	0.651499166664329	0.0842382351544748	0.418293259744186	0.00262203807311594
"A549_RHA096"	0.0237829854209908	0.854618523481269	0.297170578787347	2.05291837963517	0.019635982688852
"A549_RHA097"	0.000767799095318955	0.694245310827335	0.0979019947527025	0.769412553770312	0.110787052133934
"A549_RHA098"	0.013224406428527	0.811812398692556	0.511963901650774	0.000900504124085627	0.0915273815502799
"A549_RHA099"	0.00634623229780982	0.198793069999707	0.00744655577319923	8.87968313316352e-05	0.067509400753517
"H1437_RHL995"	1.99144690536563	0.19700738961979	1.00857268129756	0.00546923792611499	0.579222018106421
"H1437_RHL996"	0.245459651813898	0.553101538550906	1.81929120427579	0.0993415480420471	0.0918952449504686
"H1437_RHL999"	1.238924501428	1.22563962101261	1.52872126386874	0.138776585278936	0.000100691604044595
"H1437_RHL1001"	1.32863420254041	0.264095370618192	1.36821014993874	0.341120820200873	0.000302584884470375
"H1437_RHL1003"	1.1077756333113	0.249600134115025	0.676646501951696	0.104172620975842	0.571282545946482
"H1437_RHL1005"	0.931531749219997	0.644611080590317	1.90608555851058	0.0426212757092939	0.02039279503547
"H1437_RHL1010"	0.0552453906702269	0.000407665561076666	2.10050457634897	1.55423345664968	0.183173150306778
"H1437_RHL1011"	0.443769086653547	0.461081584256146	1.38759491248008	0.0760459986320707	0.0542058338586004
"H1437_RHL1012"	0.621155283629348	0.785813989638629	1.49593345641313	0.191285708664256	0.0512875750754959
"H1437_RHL1013"	0.161515724651166	0.426475598966267	1.21418715439532	0.231909574506524	0.0344085121179332
"H1437_RHL1015"	1.23531086357341	0.1125626610617	1.35273542155713	1.35511950430037	0.0444256451879308
"H1437_RHL1016"	0.332314067168746	0.0159802857688322	1.55151057044502	0.737178429207559	0.614056277358147
"H1437_RHL1019"	0.423175801356522	0.0858843247815824	2.41051824411388	3.06706578356304	0.164769633620823
"H1437_RHL1022"	0.9705778949984	0.90793861700506	2.31883748915141	0.433861661887683	0.0236764275006415
"H1437_RHL1033"	3.0965413331073	0.568449215608435	0.425623440335898	0.00205647324561212	0.00125065490989869
"H1437_RHL1042"	1.53653951642664	0.151765706304125	1.30687031044081	0.0223851707623393	0.0857960241050164
"H1437_RHL1049"	0.281105892280787	0.674271999423441	1.27659593269494	5.47357639352956	0.120404854878983
"H1437_RHL1050"	0.342894134134844	0.52715570541895	1.21376660933504	0.0359603163919648	0.0163828361081367
"H1437_RHL1057"	0.418624242266718	0.543224733506489	1.2679425767721	0.0631061108579166	0.00620499444198189
"H1437_RHL1059"	3.69316892168036	0.543436600366617	0.519327665797335	0.252739428026425	0.0576073635241929
"H1437_RHL1062"	1.14095000547062	0.835782568237126	1.75404146095946	0.0187422097236767	0.000778817692478807
"H1437_RHL1066"	7.56737327161083	1.38742271763062	0.0219714056232235	0.636242943163197	0.0020917099265927
"H1437_RHL1067"	0.891528002974838	0.0219455834571962	1.95174795725656	0.00531073611831439	0.27187307678553
"H1437_RHL1071"	0.290041138032253	0.0135833028957761	1.77225991988628	1.78490673125955	2.56706924097376
"H1437_RHL1073"	0.0651186013272499	0.0946015301438644	1.84812613354941	1.85066186679244	0.16219925843381
"H1437_RHL1075"	4.65789483197469	0.98668462558924	0.560951547057245	0.0947434576871541	0.173679672237578
"H1437_RHL1077"	5.20797727367322	1.0504824588681	0.466516322702461	0.260464016756053	0.139395118386644
"H1437_RHL1078"	0.0890936217155048	4.44766917989807e-05	1.71247784711271	0.698801629176912	0.430078166862509
"H1437_RHL1088"	1.16412743216221	1.25449527421223	2.98318404333256	0.409886021189627	0.0158570176720222
"H1437_RHL1094"	4.62072383413182	0.916908100833863	0.411991153315148	0.099453520338081	0.240720576512649
"H1437_RHL1095"	2.16411562033591	0.372371821784337	1.02205151550598	0.148588158814186	0.282592329261445
"H1437_RHL1096"	0.123047986039412	0.0532715138655921	1.17859934677057	0.34624509358437	0.0589593685305993
"H1437_RHL1099"	2.8845136806158	0.759314331674391	1.01393314759407	0.539517431464158	0.0153735739367903
"H1437_RHL1100"	0.0566044644843179	0.16890830800654	1.85894377941671	0.0662617219879282	0.149518273243674
"H1437_RHL1102"	0.674461700315232	0.896719210773607	1.70367656232183	4.24945687838537e-05	0.623613210661635
"H1437_RHL1103"	0.0857982956680466	0.476658330502004	1.44211455052388	1.32076313272301	0.595046155176061
"H1437_RHL1104"	3.2728993606752	0.680496652747505	0.564513405411577	0.0433346374902433	0.221005933921102
"H1437_RHL1105"	0.0207110073485407	0.473480210374255	1.44624700072657	2.080710021395	0.539759263688254
"H1437_RHL1106"	0.0356249803788741	0.343217994710975	1.70803767969855	0.105195234766197	0.284696265604074
"H1437_RHL1109"	0.495394049298683	0.638187206786413	1.3122076119384	0.275033382147226	0.079328559099122
"H1437_RHL1110"	0.486864923775352	0.853189969445164	1.59683761948555	0.0480100489584096	0.321061940367267
"H1437_RHL1117"	0.189636429348206	0.0208706065641578	0.834121542463609	3.77646674371428	38.1609439533211
"H1437_RHL1119"	0.936837741307768	0.0342620577236635	1.16286676423707	0.0370169206038249	0.246275531007383
"H1437_RHL1133"	0.917464139729354	0.158628900492555	1.22357697053748	0.0123381066612394	0.119685610386154
"H1437_RHL1135"	0.262269360394182	0.00228311923523677	1.35435801444089	0.0853198523660832	0.0324307459207323
"H1437_RHL1136"	0.414216972033138	0.624310568476143	1.74580026564144	0.0378255257625015	0.195188382170825
"H1437_RHL1144"	0.325470404192521	0.37669351708014	3.37269980517485	0.152964690443339	0.21020357138244
"A427_LUNG"	0.347180779064875	0.503452641748305	0.0102989630012662	0.0177544618879613	0.0377027003450362
"ABC1_LUNG"	0.704442404871279	0.417994844104708	0.0125038061431464	0.00247802885729899	0.0114254589661383
"CALU3_LUNG"	0.155833687981429	1.48364834801707	0.303739946271171	0.260081630461509	0.00388553293515603
"CORL105_LUNG"	0.0399530820173487	0.727940730510545	0.139220238501649	0.0166980609800878	0.011033423974475
"DV90_LUNG"	0.179598758804033	0.618705984533283	0.0159620938163182	0.062157960678242	0.0726024682161473
"EKVX_LUNG"	0.315560333811203	0.52587952149933	0.0812620207901851	0.00391906907684734	0.0181947737888987
"HCC1171_LUNG"	0.45489805782049	0.44986554903897	0.0145034481669044	0.19989163920343	0.00528413968770507
"HCC1833_LUNG"	0.628023631844015	0.426103306783935	0.00261539378004278	0.000454503733442914	0.0086421094219823
"HCC2108_LUNG"	1.19022466779603	0.239975627668541	0.000823406616674722	0.0282043340384346	0.00974143998247845
"HCC2279_LUNG"	0.175132371793759	0.798825519532169	0.120642758349451	0.0542838291059284	0.00538575306933672
"HCC2429_LUNG"	0.635175842409768	0.305307194755409	0.0427745833179942	0.0348204729320216	0.0854957725351189
"HCC2450_LUNG"	0.307503836392133	0.521325357342443	0.00100078272603126	0.0035219685003639	0.00118724011913105
"HCC2935_LUNG"	0.037370021774815	0.917217227503639	0.102553944519502	0.0396039805395052	0.0424326175981327
"HCC364_LUNG"	0.92208615275938	0.321798082912417	0.00276267314362072	0.000633476059797069	0.000797300926690437
"HCC4006_LUNG"	0.394095313542626	0.462814280995666	0.0172920419710895	0.0655920881316578	0.00534336716638955
