"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"A549_RHA015"	0.0556316028427745	0.101139082508204	0.0534255306344718	0.0181133213955136	0.000324218406254283
"A549_RHA016"	0.0158728285697751	0.209051679298636	0.00931758488985368	2.27691052105221e-06	0.00253915707077105
"A549_RHA017"	0.0300966959341436	0.0989488038708767	0.0101359189312575	0.015996068006712	0.00365363160507333
"A549_RHA018"	0.020227391671312	0.181438276643165	5.11478144878556e-05	0.0019400410854151	0.00158150548093549
"A549_RHA028"	0.0575899850338717	0.140508946720669	0.0294023168495623	0.0207454649045187	0.0123576163231073
"A549_RHA029"	0.00660416226116436	0.163901598502819	0.0360687094965431	0.0174455031054465	4.89116053212435e-06
"A549_RHA030"	0.0597448109466944	0.167889763535328	0.00675275287379831	0.00225142426577837	0.00542285467127791
"A549_RHA031"	0.0363053580522114	0.125061483884936	0.0463821089036267	0.012283432874356	0.00175777739088785
"A549_RHA032"	0.0476951042734273	0.0857420301483327	0.0444501614688249	0.0732038866004465	0.00301942561877255
"A549_RHA033"	0.00360492653415835	0.109123079585326	0.0436697751099636	0.00646561391771015	0.0152624560909445
"A549_RHA034"	0.0623375165339752	0.0834620069758306	0.0319387190890225	0.00201460424749067	0.00378804846812492
"A549_RHA035"	0.0202315102927202	0.0986222077402623	0.0496910625103616	0.000486477729522829	0.0442562802891305
"A549_RHA036"	0.0314536847079655	0.226173926812737	0.00260961790514167	0.00024993416519326	0.000947632898619787
"A549_RHA037"	0.0360647439242621	0.081078764438798	0.0374961739165169	0.0201764038937995	0.00795542861913151
"A549_RHA038"	0.0673286396857957	0.0923316372205208	0.0301411765897936	0.00292759197771798	0.00445484920466358
"A549_RHA039"	0.166166395385774	0.0447933675135037	0.0176897008702029	0.00777706524500528	0.0450796221462025
"A549_RHA040"	0.0657154168071424	0.0877232737376292	0.055065630174427	0.00702440460673387	0.00311848275350069
"A549_RHA041"	0.075458114530216	0.188746610616007	2.63430664083328e-05	0.00488524423340397	0.000178760270025337
"A549_RHA042"	0.0172563895454808	0.0833362815534499	0.0236371425500598	0.00324344013142969	0.0195487940330312
"A549_RHA043"	0.0292177562895951	0.114626587026523	0.022894754148247	5.02323583733658e-05	0.0143309829824355
"A549_RHA044"	0.520065585709891	0.000436429827335787	0.0288591024358152	0.0380837875761982	0.000818573276399537
"A549_RHA045"	0.0698634290473158	0.224838180055248	0.00657149553505753	0.00219762208285839	0.0341262622286744
"A549_RHA046"	0.000578028685252042	0.139580625158838	0.0118807712927604	9.36466609985964e-06	0.018316166692339
"A549_RHA047"	0.0200478925389458	0.103536891002277	0.0388464943988007	0.00431777688929912	0.00699156959735999
"A549_RHA048"	5.65497384639087e-05	0.124680504280313	0.02310965574599	0.0388349939247385	0.00105858115030505
