"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"ENSG00000000003"	0.0721387226861834	0.0167150224901354	0.00297294477318791	0.0619348566105093	0.19310613870288
"ENSG00000001630"	0.111135494078891	0.0318525537987993	0.0131444163474419	0.0359702372005447	0.0602292299723204
"ENSG00000003056"	0.0573228352755815	0.0005992049076657	0.00470891264174321	0.0334967286138119	0.0344421662651768
"ENSG00000003402"	0.0545873317084487	0.00309653214935014	0.0781344998660893	0.053762180740999	0.319605168056926
"ENSG00000003756"	0.0244593696928821	2.83810580357234e-09	0.0733889598919403	0.100822429307037	0.0174118945117847
"ENSG00000004455"	0.0412757050516576	0.00158990964136327	0.00235467851440231	0.196333381400942	0.0510276465360827
"ENSG00000004534"	0.0127985029489762	0.00048010195967639	0.0018844262557335	0.17239039589761	6.1498610053351e-05
"ENSG00000004779"	0.0359698699630071	0.00361297757249028	0.0143480549265797	0.0329559981416269	0.00350127880850651
"ENSG00000005022"	0.0434186045277374	0.0638877739038245	0.0361759019297341	0.0922532477205156	0.128039857240023
"ENSG00000005100"	0.0699195735822269	1.17291787948154e-05	0.0153468170878502	0.00144154461586834	0.0022801353023074
"ENSG00000005339"	0.0495415459865387	0.0301070069607112	0.0422287565310079	0.00559129109002096	0.0587847563443778
"ENSG00000005483"	0.0384017212869895	0.00902528272433831	0.0262717485111949	0.0590812500528831	0.0021919855002738
"ENSG00000005700"	0.114061770079249	0.0128650530697903	0.0348570678493082	0.0065311039220488	0.0691020896410408
"ENSG00000005801"	0.0447342917880223	0.0123284510981681	0.0281824896465865	0.0067543755610515	0.00241959527163894
"ENSG00000005893"	0.124948082076235	0.0028443312714097	0.0123288705582738	0.00448945304247622	0.000418969530971182
"ENSG00000006530"	0.0383782595329408	0.0188373342645763	0.000279595149974201	0.0433208386712212	0.0487720284334187
"ENSG00000006607"	0.0474161892137045	0.0698101002746681	0.0151527455391254	0.0677136962717617	0.00810227876218542
"ENSG00000006625"	0.0623218523853654	0.00475029152963205	0.00265563857027131	0.0166326887451564	0.00728738878337027
"ENSG00000006652"	0.050345089976507	0.00328540354235064	0.000596206831519451	0.104352563641963	0.0112136086372111
"ENSG00000007168"	0.0876070139230797	0.000388703229937585	0.00910817477591733	0.00994700892354826	0.124319949101526
"ENSG00000008018"	0.0541060994097302	0.0572871262739721	0.00335862211152306	0.022157960887332	0.0118703620914797
"ENSG00000008294"	0.0322121387710555	0.000483102476212627	0.00377053372874455	0.0428466271956088	0.00449496080943233
"ENSG00000008394"	0.00294105487326629	0.345148790762808	0.398123686487689	0.00901014168249297	0.000954302329831006
"ENSG00000008952"	0.0112791635255958	0.117147472885197	0.00899536637141283	0.00043257592199071	0.120359556571312
"ENSG00000008988"	0.0156911604993226	0.0627663411054589	0.0270231252722323	0.00448575134579989	0.0886357901531995
"ENSG00000009307"	0.0821566173520498	0.0125481689916676	0.0241394228545316	0.321598371885269	0.0916927550020694
"ENSG00000009335"	0.113189053966871	0.128679015150245	0.0384048620764198	0.0023007063679743	0.00319273619561057
"ENSG00000009413"	0.0440846880472522	0.000120473700089799	0.0747669959526571	0.0451085014817612	0.0057295991422271
"ENSG00000009954"	0.0576247001021738	0.00868863892825456	0.00333379758775257	0.132124896348628	0.0269533020457733
"ENSG00000010244"	0.0484229609732944	0.0360186498966644	0.0341021133749715	0.0446183133625439	0.277217096931009
"ENSG00000011275"	0.0727169055009279	0.00627491711806673	0.00701827695587814	0.00806160434389303	0.0142876555547906
