"Dim.1"	"Dim.2"	"Dim.3"	"Dim.4"	"Dim.5"
"ENSG00000000003"	0.367524428177815	0.0339009630256109	0.00199574698444062	0.0149125102682738	0.0408698946260346
"ENSG00000001630"	0.488497382535774	0.0557366705195511	0.00761292657463076	0.00747223660410811	0.0109978158380252
"ENSG00000003056"	0.364586935037432	0.00151717650323569	0.00394634409347952	0.0100687067019013	0.00910025523703505
"ENSG00000003402"	0.248803967551652	0.00561860287089718	0.0469255260585076	0.0115808428697125	0.0605158175212171
"ENSG00000003756"	0.144903195345039	6.69342791804971e-09	0.0572880858727179	0.0282284944342308	0.00428517343919937
"ENSG00000004455"	0.252044012307436	0.00386493002131028	0.00189458625851238	0.0566596500102552	0.0129442561510182
"ENSG00000004534"	0.131016274049473	0.00195653156177953	0.0025418276290479	0.0834021018490821	2.61529719301336e-05
"ENSG00000004779"	0.370958627180982	0.0148333478558142	0.0194975712605565	0.0160627142906984	0.00150004047956824
"ENSG00000005022"	0.361542453238782	0.211781735639935	0.0396920641834161	0.0363047090494647	0.0442912866405242
"ENSG00000005100"	0.362466226341497	2.42060368303789e-05	0.0104830575541196	0.000353178876512019	0.000491042485990977
"ENSG00000005339"	0.268866127543455	0.0650461247832451	0.030197828081982	0.00143409029535501	0.0132532056011928
"ENSG00000005483"	0.261532009303586	0.0244693415179754	0.0235756684406814	0.0190161104744796	0.000620156802709471
"ENSG00000005700"	0.440449905135716	0.0197767673107487	0.017735692215928	0.00119190286876556	0.0110850401443145
"ENSG00000005801"	0.314890521098477	0.0345473584519577	0.0261396191311617	0.00224699488231347	0.000707540695836021
"ENSG00000005893"	0.453917410047969	0.0041135305800517	0.00590162237523567	0.000770794375008666	6.32294439655067e-05
"ENSG00000006530"	0.285217879062375	0.0557311779816675	0.000273792774062036	0.0152154984229728	0.0150574685495588
"ENSG00000006607"	0.273377173367693	0.160229018035933	0.0115113911027502	0.018450578160779	0.00194058405411818
"ENSG00000006625"	0.491574150491619	0.0149161332834891	0.00276006004060286	0.00620024715093378	0.00238786791251811
"ENSG00000006652"	0.288250290045016	0.00748839354976408	0.000449790685338047	0.028236678659689	0.0026671516043676
"ENSG00000007168"	0.404818821251003	0.000715034958982959	0.00554567036807342	0.00217226188879721	0.0238644987965013
"ENSG00000008018"	0.41134484600276	0.173382068096716	0.00336451024195203	0.00796136403214409	0.00374898304772211
"ENSG00000008294"	0.338161108364068	0.00201897373067152	0.00521564237078212	0.0212578136022593	0.00196028710132696
"ENSG00000008394"	0.0105886393345504	0.494687221812784	0.188866930859512	0.00153308595685688	0.000142729152889744
"ENSG00000008952"	0.0957655927548942	0.395961390109221	0.0100635762666145	0.000173577251435498	0.0424524601394179
"ENSG00000008988"	0.195388287668395	0.311141243245918	0.0443383895333123	0.00263983337498611	0.0458503081293851
"ENSG00000009307"	0.396519921090622	0.0241096068308624	0.0153514789574277	0.0733557496744973	0.0183843025659018
"ENSG00000009335"	0.377812958710897	0.170988717902495	0.0168911612275577	0.000362937189013284	0.000442715911764802
"ENSG00000009413"	0.244258993021366	0.000265731076677476	0.0545850358376607	0.0118118805736301	0.00131879321722994
"ENSG00000009954"	0.377676245773303	0.0226699232492671	0.00287906253460485	0.0409254542758893	0.00733859036184507
"ENSG00000010244"	0.230707720197319	0.0683164865910449	0.0214088311604087	0.01004666200321	0.0548681696013501
"ENSG00000011275"	0.329511733144705	0.0113195925871834	0.00419050993486967	0.00172645328261901	0.00268959037516938
"ENSG00000011295"	0.358663171930244	0.00406229078433168	0.000528016583280305	0.020665392812715	0.00694375738531141
"ENSG00000011405"	0.19571916799112	0.076021703633529	0.000758096316895491	0.00934331183978955	0.00278410723727521
"ENSG00000011454"	0.335297235070211	0.000235731879675724	0.00234025956280094	0.0185902980334225	0.00552763268978151
"ENSG00000013275"	0.423150966446003	0.00409187444129368	0.0444885737613108	0.00667929491404062	0.00336832212719705
"ENSG00000013374"	0.17873898853012	0.0166615062893819	0.0934398358460773	0.00163588161401405	0.0126724190420416
"ENSG00000013375"	0.350707679552579	0.0440963343365968	0.00275161873701263	0.00217058176935794	0.03251582079332
"ENSG00000013441"	0.215749484005069	0.0126068086843047	0.0196658406518105	0.00513404769278672	0.0358428578213348
"ENSG00000013561"	0.246028492132691	0.0144538027973913	0.000142088612490894	0.000193620115326268	0.00355637381126705
"ENSG00000014641"	0.267084938704968	0.290726183708512	0.017013860878439	0.0361052826660073	0.00273401370429243
"ENSG00000015479"	0.274055071170843	0.175591176448314	0.00497947164581696	0.00243353273857378	0.0173839021371304
"ENSG00000015568"	0.0463807921985679	0.612606302101224	0.0727779051060269	0.00494271867008151	3.16603609269338e-06
"ENSG00000018408"	0.397295969835294	0.0361352855457482	0.044404390974683	0.00110999342224751	1.03320143217938e-05
"ENSG00000018510"	0.505571130532348	0.0311346312285198	0.0117524702051501	0.00110503427657244	0.0012535542716392
"ENSG00000020426"	0.106734439420307	0.231161885562892	0.0182204917271861	0.00238963267404493	0.0173138807810285
"ENSG00000022840"	0.133045950225631	0.0249605020651396	0.0680997554101246	0.0429822983642728	0.0022677674442887
"ENSG00000023228"	0.341888395203615	7.66139693873377e-05	0.00562922604655347	0.029624470878351	0.000102765703006084
"ENSG00000023287"	0.315978830127288	0.0202048180558855	0.00143833289965153	4.93990342557866e-07	0.000315897892539665
"ENSG00000023734"	0.375173696775119	0.0124878981954146	0.0090900851891994	0.0088042794422262	0.00169809635746547
